"case_id","project_name","evidence_status","source_level","source_url","source_published_at","accessed_at","fact_scope","verification_conclusion","notes"
"案例A1","呼和浩特万象城","部分核验","A","http://www.huhhot.gov.cn/2022_zwdt/tpxw_56060/202603/t20260319_1984172.html","2026-03-19","2026-08-14","开业和城市消费首店信息","部分确认","官方页面当前被拦截；搜索摘要不单独升级为已核验"
"案例A10","南京德基广场","部分核验","A","https://swj.nanjing.gov.cn/bmdt/202512/t20251229_5752922.html","2025-12-29","2026-08-14","艺术商业科技机制、首店、24小时模式、客流与销售数据","核心事实已确认","完整改造过程需补充另一可访问来源"
"案例A11","长沙万象城","部分核验","B","https://k.sina.cn/article_7879848968_1d5acf40801901gdim.html","2026-07-13","2026-08-14","开业后楼层业态和运营观察","部分确认","需补录项目方或政府官方来源并统一品牌数量口径"
"案例A12","绍兴苏宁广场","部分核验","A","https://www.sx.gov.cn/col/col1229365501/art/2026/art_25778126cb20b603e9a6189fff87a977.html","2026-06-18","2026-08-14","开业、体量、TOD、复合空间和场景","核心事实已确认","品牌数量和开业后表现待补录"
"案例A13","成都印象城","部分核验","B","https://m.sidd.com.cn/yanjie/954.html","2026-05-21","2026-08-14","主题空间、区域联动、年轻客群和夜间业态","部分确认","需补录印力官方来源和持续运营数据"
"案例A14","南昌大悦城","部分核验","A","https://www.grandjoy.com/meitixiangqailed/6007.html","2025-09-11","2026-08-14","项目定位、开业、品牌和首日表现","核心事实已确认","空间形态和后续表现待补录"
"案例A15","苏河湾万象天地","部分核验","B","https://shpudong062964.11467.com/m/news/17021206.asp","2026-08-05","2026-08-14","项目位置、开放商业和历史建筑线索","部分确认","待补华润或静安官方来源"
"案例A16","成都杉杉奥莱","部分核验","B","https://www.jiemian.com/article/13367318.html","2025-09-18","2026-08-14","开业后文商旅体联动、空间服务和经营数据","部分确认","待补项目方或政府原始来源"
"案例A17","上海青浦百联奥莱","部分核验","A","https://www.gzw.sh.gov.cn/shgzw_zxzx_gqdt/20260519/a057ee51d8524738847c82f15d7e2ff0.html","2026-05-19","2026-08-14","项目运营年限、品牌会员和2025经营数据","核心事实已确认","二期计划与已发生事实分开记录"
"案例A18","北京世纪金源","部分核验","B","https://www.mallchina.org.cn/page5?article_id=630","2026-03-30","2026-08-14","改造策略、时间线和主题空间","部分确认","待补项目方正式公告"
"案例A19","西安万象城-生命之树","部分核验","A","http://www.sasac.gov.cn/n4470048/n35313464/n35373956/n35373978/c35378649/content.html","2026-03-19","2026-08-14","生命之树作为特色服务场景","部分确认","待补西安项目官方页和单项目运营数据"
"案例A2","湾里·王府井WellTown","部分核验","A","https://www.wfj.com.cn/content/details114_5452.html","2025-12-27","2026-08-14","开业表现、非标奥莱定位和运营方向","核心事实已确认","持续经营数据待长期观察"
"案例A20","成都万象城","部分核验","A","https://women.scol.com.cn/m/mls/202607/83281536.html","2026-07-03","2026-08-14","产权与运营分离及商业REITs背景","部分确认","待补单项目官方运营资料"
"案例A3","长宁Artpark大融城","线索","C","http://news.qq.com/rain/a/20260720A0233K00","2026-07-20","2026-08-14","活动场地存在","仅作线索","项目身份和商业机制待确认"
"案例A4","杭州万象城-香氛节","部分核验","A","https://mdaily.hangzhou.com.cn/scb/2026/04/24/article_detail_7_20260424A031.html","2026-04-24","2026-08-14","香氛节时间、地点、街区互动和品牌展演","核心事实已确认","持续运营效果待补录"
"案例A5","杭州大厦","部分核验","A","https://www.hangzhou.gov.cn/col/col1229505913/art/2026/art_38f639b9c7ef91b3ecde48c5e6e5b35e.html","2026-05-19","2026-08-14","品牌空间更新和商圈协同","核心事实已确认","具体改造效果待补录"
"案例A6","北京朝阳合生汇","部分核验","B","http://www.irgroad.com/irgnews.aspx?id=11134","2025-10-09","2026-08-14","商户协同、首店、活动和阶段性表现","部分确认","待补项目方正式数据"
"案例A7","重庆方圆LIVE","部分核验","A","http://www.cq.xinhuanet.com/20260513/db27d20de7ed484e92faedd49c8f3ea9/c.html","2026-05-13","2026-08-14","地下商业改造、二次元机制和客流","核心事实已确认","经营数据需继续跟踪"
"案例A8","苏州万象天地","部分核验","A","https://www.crmixclifestyle.com.cn/gsxw/2025-12-29/2200170.html","2025-12-29","2026-08-14","开业、体量、空间结构和品牌矩阵","核心事实已确认","长期运营效果待补录"
"案例A9","上海静安大悦城","部分核验","A","https://www.jingan.gov.cn/rmtzx/003001/20251223/d5fcf1ad-8599-4ca5-8761-5ed9d13ef0fa.html","2025-12-23","2026-08-14","夜食天台、IP快闪和二次元经营","核心事实已确认","项目全年数据需保持时间口径"
"案例C1","首尔圣水洞","部分核验","A","https://chinese.korea.net/NewsFocus/FoodTravel/view?articleId=284513","2025-12-23","2026-08-14","工业遗产与潮流业态共存","部分确认","城市再生政策与绅士化数据待补原始资料"
"案例C10","广州黄沙上堓","部分核验","A","https://www.gz.gov.cn/zlgz/wlzx/content/mpost_10797891.html","2026-05-01","2026-08-14","旧黄沙水产交易市场原址、2026年4月开幕、固定店铺与慢闪机制","核心事实已确认","待补运营主体、完整面积、客流销售及长期经营表现"
"案例C11","上海M+幸福里","部分核验","A","https://www.shcn.gov.cn/col7344/20251218/1303036.html","2025-12-18","2026-08-14","老厂房更新、社区休闲与小而美业态、市集及幸福经济内容","核心事实已确认","另有上海市政府2026-06-24来源支持时尚定制与婚登联动；正式改造时间线和经营数据待补"
"案例C12","昆明巡津街","线索","C","","未确认","2026-08-14","原始视频指向巡津街及多个咖啡茶饮和杂货店","仅作线索","本轮未取得可靠可引用来源；统一运营主体、项目范围和经营机制待确认"
"案例C13","武汉延庆里","线索","C","","未确认","2026-08-14","原始视频指向汉口历史风貌区里份空间及艺术、买手和餐饮业态","仅作线索","本轮未取得可靠可引用来源；正式名称、地址、主体、开业阶段和品牌清单待确认"
"案例C14","成都CPI","部分核验","B","https://www.news.cn/politics/20251017/6d93e3e6ae404ae987246cd10af494d2/c.html","2025-10-17","2026-08-14","麓湖CPI分期、空间与业态、2024年经营数据及客群结构","部分确认","新华网报道含运营方访谈；关键经营数据仍待项目方年度资料交叉核验"
"案例C2","悉尼岩石区（海外）","部分核验","A","https://www.planning.nsw.gov.au/about-us/our-work/placemaking-nsw","未确认","2026-08-14","The Rocks为悉尼最早的历史滨水街区之一，且由Placemaking NSW持有并管理","核心身份已确认","The Rocks官方平台补充历史建筑、博物馆和市场活动；店铺数、摊位数及外立面规则待补"
"案例C3","北京中海大吉巷","线索","C","","未确认","2026-08-14","原始视频指向北京老城城市更新、文保活化、地下商业与策展","仅作线索","本轮未取得可靠可引用来源；项目身份、面积、开业和经营数据均待确认"
"案例C4","宁波秀水街","线索","C","","未确认","2026-08-14","原始视频指向宁波历史街区更新、首店及内容运营","仅作线索","本轮未取得可靠可引用来源；主体、保护范围、开街和经营数据均待确认"
"案例C5","悉尼QVB（海外）","线索","C","","未确认","2026-08-14","原始视频指向悉尼CBD的Queen Victoria Building历史商业再利用","仅作线索","本轮未取得政府、业主或项目官方资料；社交平台结果不能支撑修复、店铺或设计管控事实"
"案例C6","上海安福路","部分核验","A","https://www.xuhui.gov.cn/xwzx_bmlf/20260120/568538.html","2026-01-20","2026-08-14","街区定位、商户规模、风貌保护、品牌快闪及外摆治理","核心事实已确认","具体店铺迭代和原始视频中的经营叙述待逐项补录"
