case_id,project_name,evidence_status,project_highlight,problem_opportunity,decisive_action,mechanism_chain,evidence_backed_result,transferable_action,applicability_trigger,required_conditions,non_transferable_conditions,proposal_use,card_status
案例A1,呼和浩特万象城,部分核验,以首店及综合业态补足首府城市大型旗舰商业供给的开业型样本（项目方原文待补）,区域高品质商业和首店供给不足,围绕购物、餐饮、娱乐组成旗舰商业配套并导入首店,城市消费升级需求 → 旗舰体量与首店招商 → 形成区域目的性到访（经营效果待补）,开业和首店信息仅由被拦截官方页的搜索摘要支持；经营结果待补,先以区域供给缺口定义招商级次，再用首店与高频消费业态组合建立首期开业吸引力,首府或区域中心缺少高品质综合商业、消费外溢明显,足够体量、区域消费辐射、头部招商资源和成熟运营团队,呼和浩特首府辐射能力、华润品牌资源及具体项目规模,策略依据（需补官方原文后使用）,已完成
案例A10,南京德基广场,部分核验,把艺术、商业与科技体验叠加到头部商场，形成“高端零售+24小时+文化场景”的复合运营,高端商场在品牌之外需要持续制造目的性到访和媒体话题,将首店、24小时营业、艺术商业科技内容共同编排进日常经营,高端品牌底盘 → 艺术/科技/24小时内容 → 延长时段并吸引目的性到访,艺术商业科技机制、首店、24小时模式和客流销售数据已确认；改造全过程待补,在成熟高端项目上叠加“文化内容+全天候时段”，而不是只做品牌招商,头部商场需要提升时段利用率和内容话题度,品牌级次、24小时运营条件和内容策划资源,南京核心商圈、德基品牌资产和城市级消费辐射,策略依据,已完成
案例A11,长沙万象城,部分核验,以开业后楼层业态和运营观察校验招商兑现，作为新开业万象城样本,新开业项目需从开业热度转向稳定运营，品牌数量口径易失真,开业后持续观察楼层业态组合与品牌实际经营,开业招商 → 楼层业态兑现 → 运营观察验证业态匹配,开业后楼层业态和运营观察已确认；品牌口径需统一,开业后以楼层为单位复盘业态兑现，避免只用宣传品牌数判断成败,新项目开业后需要检验招商与运营一致性,项目方数据开放、楼层业态数据可获取,长沙万象城具体品牌资源和项目体量,动作参考,已完成
案例A12,绍兴苏宁广场,部分核验,以TOD、复合空间和场景组合提升区域商业体开业吸引力,新建区域商业需要把交通、空间与内容一次性组织清楚,将体量、TOD到达、复合空间和主题场景在开业阶段同步落地,TOD客流 → 复合空间与场景 → 开业期形成区域目的性到访,开业、体量、TOD、复合空间和场景已由政府确认；品牌和开业后表现待补,把交通接驳、空间节奏和场景主题作为开业策划的一体化任务,TOD或区域商业在开业时需要快速建立认知,轨交接驳、空间可塑性和开业期内容投入,绍兴项目体量、政府资源与苏宁体系,动作参考,已完成
案例A13,成都印象城,部分核验,用主题空间、区域联动、年轻客群和夜间业态为区域商业做内容更新,区域型购物中心同质化，需要年轻化和夜间活力,导入主题空间、联动区域并强化夜间业态,主题空间 + 夜间业态 + 区域联动 → 吸引年轻客群并延长时段,主题空间、区域联动、年轻客群和夜间业态已确认；持续运营数据待补,围绕单一目标客群做主题空间与夜间业态组合，并与片区活动联动,区域购物中心需要年轻化和夜间消费,主题空间改造、夜间业态招商和区域资源,成都印象城体量与印力运营体系,动作参考,已完成
案例A14,南昌大悦城,部分核验,以项目定位、开业品牌和首日表现组织新开业商业的即时反馈,新开业项目需要快速验证定位与品牌匹配,在开业阶段集中释放定位、品牌矩阵并观测首日表现,定位与品牌矩阵 → 开业集中释放 → 首日表现验证,定位、开业、品牌和首日表现已确认；空间和后续表现待补,把开业当作定位验证节点，快速回收品牌与客流反馈,新项目筹备后期需要校准定位与品牌,招商完成度、开业执行和首日数据采集,大悦城品牌资源和南昌项目体量,动作参考,已完成
案例A15,苏河湾万象天地,部分核验,以开放商业街区和历史建筑线索组织苏河湾滨水地段的非盒子商业,滨水/历史地段不适合传统盒子，需要开放空间与文脉,用开放街区、滨水界面和历史建筑线索组织商业,滨水开放空间 + 历史建筑辨识 → 形成可游逛街区消费,位置、开放商业和历史建筑线索已确认；华润/静安官方来源待补,在文脉地段用开放街区和历史建筑做空间识别，而非复制盒子,滨水或历史地段需避免封闭商业形态,开放街区条件、历史建筑保护和运营协调,苏河湾地段、华润品牌资源,策略依据（来源待补强）,已完成
案例A16,成都杉杉奥莱,部分核验,把奥莱从折扣场升级为文商旅体联动的目的地式消费场景,奥莱仅靠折扣难以形成高黏性，需叠加体验与服务,在开业后叠加文旅、体育、空间服务和内容联动,折扣底盘 + 文商旅体联动 + 空间服务 → 拉长停留并提升客单,开业后文商旅体联动、空间服务和经营数据已确认；项目方原始来源待补,在奥莱上叠加非购物的体验与服务内容，而不是只扩品牌折扣,奥莱需要摆脱单一折扣依赖,可运营公共空间、文旅/体育资源和运营能力,成都杉杉奥莱体量、项目方资源,动作参考,已完成
案例A17,上海青浦百联奥莱,部分核验,以多年运营、品牌会员和年度经营数据验证奥莱的长期复购体系,成熟奥莱需要证明可持续经营而非仅开业热度,沉淀运营年限、品牌组合和会员体系，并以年度数据衡量,多年运营 + 品牌会员 → 稳定复购与年度经营产出,运营年限、品牌会员和2025经营数据已确认；二期计划需单独记录,用会员权益绑定与品牌季节性迭代做年度复购，以年度经营数据而非开业热度衡量成效,成熟奥莱需要评估复购和经营稳定性,会员体系、品牌更新能力和多年运营积累,上海青浦区位、百联体系与既有客群,策略依据,已完成
案例A18,北京世纪金源,部分核验,以改造策略、时间线和主题空间组织大体量商业的更新节奏,大体量老牌商业需要在不失定位的前提下分步改造,制定改造时间线，并用主题空间承接更新内容,改造策略 → 主题空间落地 → 分阶段更新保持经营,改造策略、时间线和主题空间已确认；项目方公告待补,先定改造主线与节奏，再以主题空间作为阶段性内容抓手,大体量存量商业需要更新且难以整体停业,改造策划、分期施工和主题空间运营,北京世纪金源体量与既有客流,动作参考,已完成
案例A19,西安万象城-生命之树,部分核验,以“生命之树”特色场景为大体重奢项目建立可传播的城市记忆点,大体量项目需要超越品牌招商，形成可被记住的场景符号,以强识别度的特色场景装置作为项目空间锚点,特色场景符号 → 社交传播与记忆点 → 带动到访与品牌认同,生命之树作为特色服务场景已确认；西安项目官方页和单项目数据待补,在项目中设置一个可传播、可停留的空间锚点，而非平均铺满美陈,需要建立城市级辨识度的大体量项目,空间承载力、维护预算和传播能力,西安万象城资源、华润体系与具体装置,动作参考,已完成
案例A2,湾里·王府井WellTown,部分核验,将奥莱交易底座改造成含餐饮、艺术和主理人内容的微度假消费链,传统奥莱停留短、体验单一，难以承接文旅和轨道客流,将40%以上运营面积配置为餐饮、文化、艺术和生活体验，并以艺术中心和高频内容延长停留,奥莱价格吸引 → 内容与餐饮延长停留 → 文旅/轨道客流转化为多品类消费,2025年12月开业及体验业态占比已确认；长期销售和复购待补,在折扣零售之外预留可运营的内容与餐饮比例，并将其编入完整游逛动线,奥莱或远郊商业客单结构单一、停留时间短、周末依赖强,可持续内容团队、餐饮承接能力、停车/轨道可达性及文旅客流,环球影城邻近、北京副中心客流、轨道枢纽和大型停车资源,动作参考,已完成
案例A20,成都万象城,部分核验,以产权与运营分离呈现成熟商业资产的资本化与持续经营并存,持有型商业需要融资或退出，但不能因此中断运营,转让产权同时保留专业运营管理，形成轻资产运营延续,产权转让 → 运营管理保留 → 资产资本循环与经营稳定并行,产权与运营分离及商业REITs背景已确认；单项目运营资料待补,资本退出时以运营管理权保留保障经营连续性,成熟资产面临资本循环或退出需求,现金流稳定、专业运营团队和资管工具,华润体系、成都万象城成熟度,策略依据,已完成
案例A3,长宁Artpark大融城,线索,项目身份未确认，不能归纳为有效商业亮点,待确认正式资产、改造背景及其真实经营问题,先按“上海长宁大融城”与“Art Park”分别完成项目消歧,身份不清 → 不能建立事实—动作关系 → 禁止形成可借鉴结论,仅确认存在活动场地线索,不可引用；先补项目身份、主体和基础经营资料,案例名称、边界或主体不唯一时,项目方、开发商、政府或专业媒体的基础资料,不适用,风险提示,已完成
案例A4,杭州万象城-香氛节,部分核验,把香氛这一垂直品类从店内陈列扩展成可游逛、可互动、可复访的街区型内容,高端商业需要以低频品类创造可参与的到访理由,在沿街空间组织品牌主题展、艺术家合作、品牌小屋、巡演和会员任务,垂直品类主题 → 公共空间互动与会员任务 → 品牌曝光、停留及复访,2026年活动时间、沿街位置、互动展和巡演已确认；活动转化待补,选择已有品牌基础的单一品类，用共创展陈、任务和商户权益做成跨店内容季,项目有沿街/中庭公共空间，且需要提高品牌互动和会员活跃,品类品牌联合投入、公共空间排期、会员工具和内容执行团队,杭州万象城品牌池、艺术家资源和单次活动热度,动作参考,已完成
案例A5,杭州大厦,部分核验,在持续营业状态下，以分区改造、品牌补强和科技体验完成传统高端百货的渐进更新,老牌百货需要升级空间和品牌，且不能长时间停业失去既有客群,对B座、C座分区边营业边施工，并同步推进品牌续约、补强和跨界活动,分区施工控制停业损失 → 品牌与体验同步更新 → 保持商圈存在感并逐步提升消费体验,武林商圈内空间、品牌和活动更新及边营业边施工已确认；改造效益待补,将存量改造拆为可营业的分区节奏，并让招商更新与施工节点同步排布,成熟百货或购物中心需改造但无法整体闭店,分区施工条件、商户协调机制、明确的迁铺/续约计划和现金流承受能力,武林核心商圈、头部奢侈品牌资源和国企集团协同能力,动作参考,已完成
案例A6,北京朝阳合生汇,部分核验,不是单靠IP快闪，而是让商户、首店、餐饮、IP和会员共同参与成熟项目的持续调改,成熟购物中心需要在既有客流基础上提升复购和内容新鲜度,组织商户协同、首店引入、主题街区和高频内容活动,成熟客流与商户基础 → 联合内容和权益 → 到访转化为跨店消费与会员复购,协同共创、主题街区及活动运营已确认；单项目经营数据待补,建立商户共创机制，将活动权益、餐饮和会员任务捆绑，而非孤立做IP快闪,成熟项目客流稳定但复购/内容新鲜度下降,商户协作意愿、会员数据能力、内容团队和品牌资源,北京商务客群、合生汇既有体量与首店资源,动作参考,已完成
案例A7,重庆方圆LIVE,部分核验,把低效地下商业街重构为可24小时分时运营的二次元社交消费基地,地下空间可见度低、传统业态弱、夜间闲置,以二次元主题、自由Cosplay、高频活动和分时运营重组地下空间,封闭地下空间 → 圈层沉浸与社交活动 → 延长夜间停留并带动消费,5万平方米、2023年开业、二次元街区与客流表现已确认,先锁定可持续圈层，再将空间、活动、店铺和夜间规则一体化设计,地下/边角空间低效且周边有年轻圈层,稳定IP供给、社群运营、夜间安全消防及分时管理,重庆本地二次元社群、具体客流和活动热度,动作参考,已完成
案例A8,苏州万象天地,部分核验,用MALL+街区、一街一巷四广场把古城商业做成多节点游逛体验,大型商业需要避免封闭盒子同质化，并与古城文脉建立关系,以开放街区、主题巷道和多个广场组织动线，同时导入首店,开放空间节奏 → 多节点停留与首店探索 → 游逛转化为多场景消费,2025年12月开业、约14万平方米、近350品牌已确认,把主力店之外的步行路径设计为连续的可停留节点，并让首店配置对应节点主题,新建综合体需要提升步行探索和外摆公共空间价值,开放空间、连续动线、招商资源及公共空间运营,姑苏古城文脉、地铁上盖和高能级品牌资源,动作参考,已完成
案例A9,上海静安大悦城,部分核验,以夜食天台和二次元IP首发，为传统购物中心建立青年夜间内容入口,项目需要提升青年客群吸引和夜间时段活力,调改屋顶为夜食天台，联动二次元业态、超级IP活动和商户,专属夜间空间 → IP首发带来目的客流 → 餐饮与零售承接并形成复访,天台调改、IP活动及经营表现已由政府和项目方确认,把IP内容放入可持续经营的专属空间，并配置餐饮、零售和会员承接,需要做青年夜经济或将屋顶/闲置高区转化为目的地,年轻客群、夜间审批和安全、餐饮供应、IP资源与商户联动,上海核心商圈、静安大悦城IP资源与活动热度,动作参考,已完成
案例C1,首尔圣水洞,部分核验,保留工业肌理并允许设计、咖啡、快闪渐进聚集，使旧工业区成为潮流街区,工业遗存闲置或单一，需引入当代消费但避免失去原有特征,保留旧厂房氛围，导入小尺度创意业态和阶段性快闪,工业空间辨识度 → 创意业态与快闪聚集 → 形成街区探索和潮流传播,工业区向K时尚/美妆趋势区域转型已确认；租金和经营数据待补,保留可识别的工业元素，采用低门槛、小尺度和可迭代招商，而非整体仿古改造,工业遗存更新、需要引进年轻创意客群,产权允许渐进改造、小店招商、公共空间和防绅士化治理,首尔潮流资源、城市旅游流量及原有产业积累,策略依据,已完成
案例C10,广州黄沙上堓,部分核验,把旧水产交易市场原址更新为固定店铺与月度慢闪结合的临水商业,产业交易功能外迁后，遗留滨水存量资产需要重新导入消费,在原址保留固定店铺，并以月度慢闪持续引入新内容,历史产业原址 → 固定店铺承接基本经营 → 慢闪保持内容轮换,旧黄沙水产市场原址、2026年4月开幕、固定店铺与慢闪机制已确认,用固定铺+慢闪的组合平衡稳定租约与内容更新,产业搬迁后遗留的临水或历史存量资产,产权清晰、慢闪场地和运营方持续策展能力,广州黄沙滨水区位和既有水产市场记忆,动作参考,已完成
案例C11,上海M+幸福里,部分核验,把老厂房更新为社区休闲和小而美业态，并以市集和婚登节点放大“幸福经济”,老厂房与社区需要建立日常关联，而非只做艺术打卡,导入社区休闲、小而美商业，并用市集和婚登内容联动,老厂房空间 → 社区休闲与小店 → 幸福经济节点带动日常到访,老厂房更新、社区休闲、小而美业态、市集及幸福经济内容已确认,以小而美业态服务周边日常，并用可复用的仪式/市集节点制造复访,社区型存量空间需要兼顾日常消费与目的地内容,社区客群、轻改造成本可控、内容运营方,上海长宁区位、婚登节点等公共资源,动作参考,已完成
案例C12,昆明巡津街,线索,项目身份与统一运营主体未确认，不能形成可引用亮点,历史街区视频线索需要先确认是否具有统一运营和可迁移机制,先确认项目范围、运营主体和是否统一招商运营,身份不清 → 无法区分自发聚集与主动运营 → 不能形成借鉴,仅原始视频线索，无可靠来源,不可引用；先区分“自然生长街区”与“有运营主体的项目”,视频或社交线索指向某街区但运营主体不明,项目方、政府或专业媒体来源,不适用,风险提示,已完成
案例C13,武汉延庆里,线索,项目身份未确认，不能归纳为有效商业亮点,里份空间更新需先确认正式名称、范围和运营阶段,先确认正式名称、地址、主体和开业阶段,身份不清 → 无法建立事实—机制关系,无可靠来源；正式名称、范围、开业和品牌待确认,不可引用；先完成项目消歧,案例名称或主体不唯一,项目方、政府或专业媒体资料,不适用,风险提示,已完成
案例C14,成都CPI,部分核验,把湖岛样板间存量资产转为自然场景、独栋游逛与生活方式业态共存的商业公园,存量样板间/独栋资产需要从地产配套转向可消费的公共商业,保留自然场景与独栋形态，导入高比例生活方式业态和慢闪,自然场景 + 独栋探索 + 生活方式业态 → 游逛与停留,麓湖CPI分期、空间业态、2024年经营数据及客群结构已确认,以独栋小体量和自然路径组织游逛，用慢闪持续更换内容,拥有生态或独栋存量、想打造非标生活方式商业,生态资源、主理人/生活方式品牌供给和持续运营,麓湖生态、样板间存量和高客单品牌资源,策略依据,已完成
案例C2,悉尼岩石区（海外）,部分核验,以统一遗产管理机构和低干预保护，让历史滨水街区保持真实性与常态化运营,历史街区需在保护前提下持续运营，避免过度商业化,由单一公共机构持有并管理，叠加低干预保护和本地创作者市集,统一遗产管理 → 低干预保护 → 本地市集与真实社区生活共存,The Rocks由Placemaking NSW持有管理、历史滨水街区身份已确认,以统一管理机构统筹保护与商业，用本地创作者内容保持活力,历史滨水街区需要协调保护与运营,统一管理机构、保护约束和本地创作者供给,悉尼历史街区资源与Placemaking NSW体制,策略依据,已完成
案例C3,北京中海大吉巷,线索,项目身份未确认，不能形成可引用亮点,北京老城更新项目需先确认资产、文保和开业状态,先确认项目身份、面积、文保点位和开业期,身份不清 → 无法建立商业机制,无可靠来源；面积、文保、开业、品牌和经营待确认,不可引用；先完成项目身份核对,案例名称或资产不明确,项目方、政府或专业媒体资料,不适用,风险提示,已完成
案例C4,宁波秀水街,线索,项目身份未确认，不能形成可引用亮点,历史街区更新需先确认主体、保护范围和开街时间,先确认招商蛇口主体、更新范围、开街和首店,身份不清 → 无法形成借鉴,无可靠来源；主体、保护范围、开街和经营待确认,不可引用；先完成项目消歧,案例主体或范围不明确,项目方、政府或专业媒体资料,不适用,风险提示,已完成
案例C5,悉尼QVB（海外）,线索,项目身份为历史商业再利用方向，但关键事实未确认,历史建筑商业再利用需确认业主、修复和设计导则,先获取政府、业主或项目官方资料,身份可辨识 → 但修复/租户/导则未确认 → 暂不可引用,仅确认Queen Victoria Building历史商业再利用方向,不可引用；先补业主、修复、租户和设计导则,历史建筑再利用但官方资料缺失,政府、业主或项目官方来源,不适用,风险提示,已完成
案例C6,上海安福路,部分核验,以风貌保护、品牌阶段性更新和外摆精细治理，把漫步流量转成街区消费,历史风貌街区需在保护与商业化之间保持平衡,在风貌约束下导入首店/快闪，并用外摆试点和营商服务做精细治理,风貌保护 → 品牌更新与外摆治理 → 漫步流量转消费,约1.5公里街区、200余商户、风貌保护、快闪和外摆治理已确认,用保护规则做边界，再用品牌更新和外摆试点提升沿街体验,历史风貌街区需平衡保护与消费,可步行界面、风貌约束、活动审批和居民协商,衡复风貌区、上海首店资源与高密度国际品牌,策略依据,已完成
案例C7,景德镇陶阳里,部分核验,以考古式修缮把产业遗产变成手作、研学与日常生活的生产性载体,产业遗产易被做成静态布景，缺乏真实产业链和内容支撑,采用考古式修缮，把遗产保护与手作、文创、餐饮、研学并置,真实文化产业链 → 遗产保护与研学消费 → 文化深度与夜间延长,108条里弄、明清窑作群、修缮方式、业态和接待量已确认,把遗产当作可生产内容的空间，导入手作、研学和生活业态,拥有真实文化产业链和遗产资源的项目,遗产保护能力、文化产业链和社区协调,景德镇陶瓷产业链、御窑遗址和城市级文旅流量,策略依据,已完成
案例C8,北京胡同商业,线索,案例名不是唯一项目，不能形成可引用亮点,“北京胡同商业”需拆分到具体资产和运营主体,先拆分并定位具体项目、资产和运营主体,非唯一名称 → 无法建立事实—机制,无可靠来源，仅泛指胡同住宿零售,不可引用；先拆分具体项目,案例名称是泛指而非唯一项目,具体项目名称、地址和主体,不适用,风险提示,已完成
案例C9,青岛银鱼巷,部分核验,小尺度历史巷道的轻修缮加业态动态调控，从活动导流转到服务型运营,历史巷道初开街后业态易过度集中，需从引流转向留客,保留路面、拱券等历史痕迹，用主理人起步并动态调整业态结构,轻修缮 + 主理人测试 → 业态动态调控 → 服务与复购,约255米、2019启动、2021开街、业态迭代与运营转向已确认,先轻修缮保真，再用主理人试水并据品类集中度动态调业态,小尺度历史街区开街后需要转向精细运营,历史痕迹可保留、主理人供给和服务能力,青岛老城资源与项目运营总监口径,动作参考,已完成
