queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
376,案例D27,上海党群服务中心,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
377,案例D28,武汉光谷华润chill park,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
378,案例D29,东京小川咖啡OGAWA COFFEE LABORATORY（海外）,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
379,案例D30,自然造物上海1KA新店,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
380,案例D31,海口matata咖啡,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
381,案例D32,成都麓湖CPI,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
382,案例D33,清迈商业场景设计（海外）,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
383,案例D34,沈阳铁西红梅190五文创园,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,案名勘误：『红梅190五文创园』实为沈阳红梅文创园（红梅味精厂旧址、卫工北街44号、2019-09开园）；与案例D43（1905文创园，沈重二金工车间、兴华北街8号）为两个不同项目，不构成重复
384,案例D35,哈尔滨戈雅咖啡（老洋房系列）,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
385,案例D36,上海三立方咖啡（御园路店）,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
386,案例D37,槟城China House唐人厝（海外）,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
387,案例D38,成都光合作用咖啡（热植主题）,四、社区型非标商业,待核验,高,P1,B016,已搜索,线索,
388,案例D39,伦敦Mercato Mayfair（海外）,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
389,案例D40,成都白读书屋,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
390,案例D41,成都南石灶食材店,四、社区型非标商业,待核验,高,P1,B016,已搜索,线索,
391,案例D42,木墨新造社区,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
392,案例D43,沈阳1905文创园,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
393,案例D44,蓝瓶咖啡（Blue Bottle Coffee）,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
394,案例D45,曼谷Dusit Central Park（海外）,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
395,案例D46,成都arrow咖啡,四、社区型非标商业,待核验,高,P1,B016,已搜索,线索,
396,案例D47,新加坡One Holland Village（海外）,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
397,案例D48,广州山下植屋（Down of Mountain）,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
398,案例D49,成都LOBANG炉坂面包,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
399,案例D50,新加坡KADA（海外）,四、社区型非标商业,待核验,高,P1,B016,已搜索,线索,
400,案例D51,阿那亚金山岭,四、社区型非标商业,待核验,高,P1,B016,已搜索,部分核验,
