case_id,project_name,model,city,size,space_type,business_tags,migration_tags,completeness,video_no,status,duplicate_group,line_no,target_problem,customer_type,operation_goal,asset_condition,scale_level,investment_level,migration_difficulty,verification_priority
案例A1,呼和浩特万象城,一、区域型购物中心/综合体,呼和浩特（内蒙古）,24万方,盒子mall,餐饮; 运动,全国性首展引入; 原创内容IP化; 会员深度运营; 服务精细化; 文旅联动; 品类差异化运营,高,No.5,待核验,DG06,29,,,,,,,,
案例A2,湾里·王府井WellTown,一、区域型购物中心/综合体,北京,未提及,未分类,餐饮; 零售; 文化,非标奥莱定位; 一半面积给餐饮+手店; 屋顶生态花园; 艺术中心+市集+主理人品牌,高,No.11,待核验,,81,,,,,,,,
案例A3,长宁Artpark大融城,一、区域型购物中心/综合体,上海,可租面积不到3万方（大半面积在地下）,地下,餐饮; 零售; 亲子; 运动,错位竞争定位; 商务场景配齐; 招商克制不填铺; 错位营业时间; 牺牲面积换空间; 引入主理人替代连锁,高,No.47,待核验,,131,,,,,,,,
案例A4,杭州万象城-香氛节,一、区域型购物中心/综合体,杭州,未提及,盒子mall,,单品类深度运营; 品牌联合共创小屋; 策展思路做选品; 3个月持续迭代街区叙事; 公共空间内容化,中,No.85,待核验,DG11,183,,,,,,,,
案例A5,杭州大厦,一、区域型购物中心/综合体,杭州,未提及（含A、B、C座）,未分类,餐饮; 运动,顶奢延伸到居家生活; 顶奢+年轻化双轨并行; 中庭空间事件化; 在地文化+科技搬进商场,高,No.140,待核验,,234,,,,,,,,
案例A6,北京朝阳合生汇,一、区域型购物中心/综合体,北京,未提及,街区,餐饮; 运动,百货式调改; 品牌快速更迭; 一日店长活动; 服务精细化100件小事; 银发社群运营,高,No.208,待核验,,284,,,,,,,,
案例A7,重庆方圆LIVE,一、区域型购物中心/综合体,重庆,5万平米（地下旧改商业）,地下,零售; 文化,高强度内容输出; 自建小程序整合功能; 头部平台独家合作; 自有IP原创内容; 不教育年轻人,高,No.222,待核验,,335,,,,,,,,
案例A8,苏州万象天地,一、区域型购物中心/综合体,苏州,未提及,未分类,餐饮; 零售; 文化,灯台策展思维空间; 与品牌共创城市限定; 街区+室内中庭+下沉广场组合; 传统文化的潮流化表达,高,No.236,待核验,,386,,,,,,,,
案例A9,静安大悦城,一、区域型购物中心/综合体,上海,去年调改2万平米,盒子mall,零售,兴趣社交平台定位; IP快闪接力高频运营; 先快闪测反馈再落大店; 边角料空间内容化; 夜市天台按年唤醒,高,No.255,待核验,,436,,,,,,,,
案例A10,南京德基广场,一、区域型购物中心/综合体,南京,未提及,未分类,餐饮; 文化,艺术做成内容IP; 主题洗手间空间化; 24小时营业+夜间博物馆; 艺术商业事迹场景更新,高,No.438,待核验,,487,,,,,,,,
案例A11,长沙万象城,一、区域型购物中心/综合体,长沙,未提及,盒子mall,餐饮; 零售,城市味觉IP化; 400米外广场做独立IP街; 本地主理人品牌首批入驻; 观众共创艺术内容,高,No.18,待核验,DG18,539,,,,,,,,
案例A12,绍兴苏宁广场,一、区域型购物中心/综合体,绍兴,26万方,未分类,餐饮; 酒店,大体量+中央广场+屋顶菜园组合; 屋顶四季景观; 在地文化融入细节; 公共座椅细节服务,高,No.29,待核验,,589,,,,,,,,
案例A13,成都印象城,一、区域型购物中心/综合体,成都,未提及,未分类,餐饮; 运动,熟人生意定位; 严格筛选被验证品牌; 200米社交动线日咖夜酒; 集中调改大换血,高,No.55,待核验,,639,,,,,,,,
案例A14,南昌大悦城,一、区域型购物中心/综合体,南昌,未提及,盒子mall,餐饮; 娱乐; 运动,城市味觉IP化续集运营; 多圈层活动并行; 空间场景解决社交痛点; 持续调改品牌,高,No.100,待核验,DG04,689,,,,,,,,
案例A15,苏河湾万象天地,一、区域型购物中心/综合体,上海,未提及,滨水,餐饮; 文化; 运动,历史建筑做城市事件发生地; 高端品牌限定主题宴请; 细分客群社群对应租户; 单商场升级为生活圈,高,No.159,待核验,,739,,,,,,,,
案例A16,成都杉杉奥莱,一、区域型购物中心/综合体,成都,未提及,未分类,餐饮; 运动,牺牲可租赁空间保体感; 全灵友好细节; 自营集合店货品权; 城市社交场定位,高,No.211,待核验,,789,,,,,,,,
案例A17,上海青浦百联奥莱,一、区域型购物中心/综合体,上海,目前约10万平，二期新增约10万平米后接近20万平米,未分类,餐饮; 零售; 运动,运动旗舰整体换新; 二期扩容用人行桥车行桥打通; 客服中心升级; 跨年音乐会+烟花秀,高,No.244,待核验,,839,,,,,,,,
案例A18,北京世纪金源,一、区域型购物中心/综合体,北京,超60万方,历史文化,餐饮; 文化,聚合策略做超级品类中心; 文化顶流IP原创线下首展; 联合在地文化机构做主题展; 养成系改造; 万种生活博物馆定位,高,No.267,待核验,,889,,,,,,,,
案例A19,西安万象城-生命之树,一、区域型购物中心/综合体,西安,未提及,盒子mall; 街区,餐饮; 零售,建筑地标+内容运营双轮驱动; 国际艺术家+流量IP组合; 携手场内品牌共创皮肤; 像编辑杂志一样经营内容,高,No.283,待核验,DG15,940,,,,,,,,
案例A20,成都万象城,一、区域型购物中心/综合体,成都,未提及（含四大馆+广场城外广场）,盒子mall,餐饮; 零售; 亲子; 文化; 运动,广场品牌化运营; 慢区与快区有机共生; 与品牌联合编剧; 统一视觉体系+场景化点位,高,No.329,待核验,DG09,990,,,,,,,,
案例A21,成都万象城,一、区域型购物中心/综合体,成都,未提及,盒子mall,,资产化运营思维; 商管团队保留机制; 业绩稳定增长路径,中,No.9,待核验,DG09,1041,,,,,,,,
案例A22,西安万象城,一、区域型购物中心/综合体,西安,未提及,盒子mall,,社群权益化; 先体验后发布; 身份分层设计,中,No.20,待核验,DG15,1089,,,,,,,,
案例A23,南湖天地,一、区域型购物中心/综合体,嘉兴,两期合计约30万方，近500个品牌，3000多个车位,滨水,餐饮; 零售; 娱乐; 运动,城市IP优先于企业品牌; 景区+商业+休闲打通; 一轴两街三巷四院格局; 首店矩阵构建,高,No.23,待核验,,1137,,,,,,,,
案例A24,宁波环球银泰百货,一、区域型购物中心/综合体,宁波,未提及,未分类,,抽象活动引流; 明星+IP圈层常态化; 城市差异化定位,中,No.24,待核验,,1186,,,,,,,,
案例A25,老城根G park,一、区域型购物中心/综合体,西安,未提及,街区,餐饮; 零售; 文化,艺术基金+毕业展护城河; 用做内容的思维做商业; 街区尺度审美延续,高,No.28,待核验,,1234,,,,,,,,
案例A26,成都万象城,一、区域型购物中心/综合体,成都,未提及,盒子mall,餐饮,城市旗舰商业定位; 中心广场快慢分区; 文化符号入驻,高,No.39,待核验,DG09,1282,,,,,,,,
案例A27,武汉荟聚,一、区域型购物中心/综合体,武汉,未提及,公园,餐饮; 零售; 体验; 娱乐; 亲子,体验业态高占比; 反常规业态引入; 陪伴型服务周期; 精细化租户服务,高,No.60,待核验,,1330,,,,,,,,
案例A28,万象滨海购物村（MIXC Village）,一、区域型购物中心/综合体,东莞,200多个品牌,未分类,餐饮; 零售,城市底盘先行; 空降级审美场景; 奥莱+度假感叠加,高,No.62,待核验,,1379,,,,,,,,
案例A29,上海ifc国金中心,一、区域型购物中心/综合体,上海,未提及,未分类,,核心限时位给文化稀缺品牌; 看展+购买连接; 工艺提取做空间设计,中,No.66,待核验,,1427,,,,,,,,
案例A30,南宁万象城,一、区域型购物中心/综合体,南宁,未提及（2027年将释放2万方百盛位重新规划）,盒子mall,餐饮; 零售,唯一性占住不可替代性; 品牌孵化器2.0; 游客增量转化; 大台阶天然秀场,高,No.81,待核验,,1475,,,,,,,,
案例A31,成都SKP,一、区域型购物中心/综合体,成都,未提及（慕思睡眠博物馆占地1700多平）,未分类,零售; 体验,重奢场内大体验店型; 六根感官调动; 反古法+科技沉浸式,高,No.125,待核验,,1524,,,,,,,,
案例A32,Eataly中国首店（海外）,一、区域型购物中心/综合体,上海（将入驻）,未提及（拉斯维加斯店3000平单层，近四成面积给餐厅）,未分类,餐饮; 零售; 生鲜,Eat Shop Learn定位; 故事卡替代价签; 空间边界模糊,高,No.150,待核验,,1572,,,,,,,,
案例A33,深圳万象天地,一、区域型购物中心/综合体,深圳,未提及,未分类,餐饮; 零售,大小盒子串街区建筑形态; 慢闪空间共创; 情绪公共化,高,No.153,待核验,DG13,1620,,,,,,,,
案例A34,西安MOMOPARK,一、区域型购物中心/综合体,西安,未提及,未分类,餐饮; 零售; 文化,硬件偏执翻新; 直播间为品牌兜底; 自建美术馆+艺术院校合作,高,No.155,待核验,,1668,,,,,,,,
案例A35,上海新天地,一、区域型购物中心/综合体,上海,未提及（旧校园为近百年历史建筑）,历史文化,餐饮; 文化,旧校园改造文化现场; 全球IP本地化场景; 完整文化现场搭建,高,No.160,待核验,DG01,1716,,,,,,,,
案例A36,东京玉川高岛屋（海外）,一、区域型购物中心/综合体,东京,1969年开业时5.5万方，如今18.5万方,未分类,餐饮; 生鲜,修旧则旧该新则新; 立体公园外立面; 主题区专用扶梯; 推让外墙模糊边界,高,No.181,待核验,,1764,,,,,,,,
案例A37,深圳大运天地,一、区域型购物中心/综合体,深圳,未提及,未分类,亲子; 运动,0.5版本降门槛; 情绪具象化; 社群共创生态; 片区生活圈小程序,高,No.197,待核验,DG14,1813,,,,,,,,
案例A38,万象商业北京区域（百分百万象季）,一、区域型购物中心/综合体,北京,10座在营项目联动,未分类,餐饮; 零售; 娱乐,多项目联动造节; 三重体验结合; 寻宝卡片跨平台导入; 沉浸式冬日场景,高,No.202,待核验,,1862,,,,,,,,
案例A39,东京中城（海外）,一、区域型购物中心/综合体,东京,综合体占地10万平米，近一半面积做绿地和公共空间,地下; 公园,餐饮; 零售; 文化,浪费空间造气质; 日式温润克制装修; 柱子镶嵌小橱窗; 公共座椅全方位设置,高,No.221,待核验,,1911,,,,,,,,
